name,札幌市,青森市,盛岡市,仙台市,秋田市,山形市,福島市,水戸市,宇都宮市,前橋市,さいたま市,千葉市,新宿区,横浜市,新潟市,富山市,金沢市,福井市,甲府市,長野市,岐阜市,静岡市,名古屋市,津市,大津市,京都市,大阪市,神戸市,奈良市,和歌山市,鳥取市,松江市,岡山市,広島市,山口市,徳島市,高松市,松山市,高知市,福岡市,佐賀市,長崎市,熊本市,大分市,宮崎市,鹿児島市,那覇市
札幌市,0.0,748.6040131002492,503.8807874264072,479.5308529002159,434.7289777611335,325.4006162685168,387.51565386058854,380.70755336363885,320.9509838490382,306.9758137745366,558.4390355657238,502.88344893347374,748.8707278050528,592.3860060727512,417.5651865067716,218.56497000105819,218.57144606074252,166.2310163975931,178.14826798147055,317.9396488115525,253.27988410418826,344.9922481138765,482.58026221467765,222.0618632593678,197.43451363276856,267.0075037303325,472.0079065425378,368.0324628448047,186.68987139160726,146.15749476811115,121.72284495903762,126.05277726923889,205.15388729649464,229.55175309356014,151.4901691486988,124.93886171966523,142.90234759385126,155.03739245619022,113.14220709629116,268.32050719842255,104.96890820089482,128.49448020543065,151.96940267429525,130.5643849566442,115.8329315168068,134.67482104788326,89.97917015323645
青森市,366.911869848305,0.0,349.7395988574327,216.59168047829118,300.2505548314506,146.736231970247,161.79770467679964,137.69061365625413,117.9493359882001,110.0611608510533,194.95136174563328,173.2765222028154,258.90809729397847,201.9955149288713,170.51831040505465,75.28676664418018,73.31862022015828,54.108434388821145,60.67085772170216,113.2203945848273,81.95381880020226,113.5609516456709,155.78546065011318,70.1681660775773,61.96923400021227,83.62431125531607,146.0240519179105,113.07001269494494,58.128711386842205,44.51197382381714,37.04724566943142,37.27729670347733,61.3881215134878,66.62184713878632,43.193020092116164,37.53292397566332,42.683519493958585,45.04570300723528,33.19030987928307,75.17992176403163,29.333276984856685,35.666269592035995,42.62887432444962,37.127441295247685,32.59744394030584,37.48003230708774,24.01952353201816
盛岡市,244.7337394513619,346.5782013977081,0.0,374.8490544789109,440.90408136763637,236.16587048674322,241.75633722986296,178.105294446267,151.64135688463327,135.07821250733522,239.69378427339572,213.4455480776262,316.5369023484497,244.3390186654933,219.4463113841933,84.96263587927827,80.89144549390699,59.14950413676606,71.51813922872093,133.81736420343185,90.95778773067211,131.23491259742653,173.60189908207457,77.28903067824226,67.33924818659567,90.64861736369055,157.57868476886736,121.24526015086715,63.11591137206292,47.740810221024965,38.886788133989334,38.44250944665514,64.48816595748406,68.78062370110769,44.210140768460036,39.876160275665825,44.972817214244785,46.7927753529501,34.814852611173905,76.53100358914537,29.88456746103683,36.30549719522348,43.64960426773815,38.22261020070691,33.62752486008841,38.454101836231125,24.41915557541736
仙台市,316.87307880086536,292.012168146563,509.9870657639556,0.0,420.42768866404964,1732.0624262306587,1488.6467153001595,574.0941653791203,492.8411310384658,390.8591501759284,686.4998776780086,604.6741992402731,891.1622022209212,669.2129096907578,663.0100395893172,205.51853713378307,187.9595148091381,135.27575105685327,187.9151130974169,355.30113186711776,213.05826718262827,328.93583531367904,409.0028656961429,177.9382708088911,151.80065898690256,203.53184728165436,350.56583704176717,266.9695232321656,141.8401708665716,104.90206655647494,83.02670869761388,79.81548824919547,137.38728906966776,142.44635749719532,90.2733736027657,86.24509833945753,96.126502567867,97.62392347497796,73.64592694626873,154.63888609733164,60.388288965191464,73.15084091364626,88.75094144505164,78.47599833724566,68.94424651038334,78.12531821491525,48.41603486350557
秋田市,188.10157978456013,265.06236029762476,392.78231487314923,275.29376445864636,0.0,199.3093188916539,195.35427982071798,142.17392126889075,125.49588737748167,115.71366015535459,197.46766811372203,172.0753186904921,259.5921340008921,199.99136485571287,213.08433743642036,76.9791308325196,73.08435630991887,52.45496333727743,60.7143706822548,119.38092551908291,78.87154175634173,110.04315844026233,149.4704731162503,66.09575163826128,58.147158164704585,78.33897519053754,135.38733152352003,104.28862050477002,54.15450087399484,40.74195603047242,33.957421514723954,33.423045471794765,55.506023284922264,58.89542185520579,37.70398893303718,34.00312169113547,38.526449126552095,39.83435231685369,29.53880875809563,64.82492165214165,25.24276396262204,30.54565119479429,36.765353388968414,32.32789442709358,28.150575044958178,32.12378766533898,19.989013305142723
山形市,148.09941812777515,136.2582268227551,221.30237261660614,1192.9705782442854,209.64703906784504,0.0,864.3398362149165,280.4573836081031,255.26233840123408,206.98726542964062,345.7309833554697,296.3677559074136,445.3556193740634,332.59508398228286,426.02368335713487,109.53539499899968,98.89089909496272,69.9840433930848,96.41378205182424,192.08224148970237,108.9646586704562,165.5121200266437,208.27298746911683,89.81136074345747,76.88776376166525,103.08061174787333,176.59217374948582,134.37444911248394,71.49399327838448,52.513369148678606,41.98650234472773,40.08754748832502,68.85051324435321,70.90194709495422,44.75418747204915,43.05997544206784,48.05608528143837,48.47166612145891,36.55399768649495,76.28688194625445,29.745431594458896,35.943543546688296,43.67491567600596,38.748019295521516,33.83788161403247,38.26621511943323,23.405706280727216
福島市,230.48530644029077,196.34359515335458,296.05051017824593,1339.9137633402083,268.53634314722166,1129.545011168132,0.0,646.117267471608,588.446899485682,425.1261800144309,722.3236154571399,618.416209493234,921.1961662558978,676.1427245938763,700.2524837488645,196.49175359302532,175.1840231519473,124.65901920878487,188.00569799256976,362.56759283185124,198.43068862855085,316.5427237705662,381.63081076743657,163.4186726605999,138.04091857259337,184.69196492401366,316.02978541976296,239.35347902764454,128.5587768309214,93.76448900391371,73.42318823401962,69.51575297794861,121.02532856007439,123.55041627399899,77.69081797510202,76.41828466335988,84.73703933397317,84.87562738922746,64.42560099230262,132.2234546449555,51.60342574919747,62.36712759953087,76.01051822387221,67.59044258670346,59.18814824836705,66.74687307132326,40.683482370174204
水戸市,280.6950936929976,207.1276380988086,270.36726706554487,640.5568391885151,242.2642975064514,454.3339862466002,800.9412891724926,0.0,2276.2919653948215,1030.7982996193523,2757.708447194002,2629.287094672859,3410.8343362616724,2250.8143622345983,641.7492830360875,322.10162935622844,285.69845304000654,212.25805590568396,448.47236564757134,641.4476346025677,368.3422043629058,729.3982316557599,728.2312207654091,307.6756988915067,247.3979049016243,328.84200729617015,563.2163411453012,420.31750421448805,232.67890886664875,166.58221335141775,121.31402202801947,112.47945376621338,204.29138267001133,203.58543541494947,126.67595697985523,133.25305220679076,144.62762446096966,142.07631939360175,110.10497452441845,214.7314287591271,84.04808896448874,101.64214894114318,125.02028213139936,111.92814413636158,98.89948529140185,110.5481628805177,66.48222814528316
宇都宮市,194.66071220631508,145.9571875085051,189.36129359507333,452.3532901957023,175.91190730207325,340.1663569902434,600.0575192175824,1872.51038067597,0.0,1138.7055594983985,2050.7639088850547,1418.6840156623182,2316.634690000403,1484.084538049751,558.0673068326114,266.2224324399259,227.82187919970417,164.15423955557299,362.2736203216183,585.6252235579083,280.16944307238214,533.0258086188156,548.8522008137159,226.2854825263767,183.1734794885535,243.3558880083733,411.90277444876733,306.8369945730775,170.43476750568533,120.2409368281795,89.26913238783628,81.7796062424723,147.91036350211968,145.7911991842098,90.18837473676172,95.73277255383854,104.22697703966863,101.24913490672107,78.32661724856429,151.77247407496117,59.255322349399684,71.39304869068799,87.9419978329835,79.10017378646572,69.17823748175162,77.15460040689791,45.59943750489703
前橋市,186.3272519686763,136.30026427986215,168.8073987931807,359.0241926033585,162.32409771204027,276.04562305082226,433.8464783721879,848.5991351988029,1139.5780195110813,0.0,2108.318564189804,1195.7356837331702,2380.3897617186176,1599.888330836218,555.2857054072648,377.6759326172626,303.29706613868206,212.6961750909618,609.8710372331045,1066.057958129932,368.7153651007794,704.1435482965035,719.258375527726,281.29102087770565,225.37354100617782,298.24642099871085,494.6156792391519,364.882846399236,206.64732108948948,140.9580414709046,104.6614355876067,93.16641956439862,170.48111646460924,163.40139738885347,99.72215333043337,110.45895833529563,119.78484811987295,113.33738757454122,88.17731165469472,165.65407753950606,64.49624649551086,77.27897251281517,95.75445444387813,86.9930860171474,75.12843489365041,83.21403965930989,47.64080976973416
